"provincia_id","provincia_nombre","pais_origen","sexo","edad_quinquenal","cantidad"
74,"SAN LUIS","Otro país","MUJER","5 a 9",30
74,"SAN LUIS","Otro país","MUJER","10 a 14",59
74,"SAN LUIS","Otro país","MUJER","15 a 19",67
74,"SAN LUIS","Otro país","MUJER","20 a 24",54
74,"SAN LUIS","Otro país","MUJER","25 a 29",39
74,"SAN LUIS","Otro país","MUJER","30 a 34",74
74,"SAN LUIS","Otro país","MUJER","35 a 39",87
74,"SAN LUIS","Otro país","MUJER","40 a 44",83
74,"SAN LUIS","Otro país","MUJER","45 a 49",59
74,"SAN LUIS","Otro país","MUJER","50 a 54",59
74,"SAN LUIS","Otro país","MUJER","55 a 59",30
74,"SAN LUIS","Otro país","MUJER","60 a 64",33
74,"SAN LUIS","Otro país","MUJER","65 a 69",25
74,"SAN LUIS","Otro país","MUJER","70 a 74",17
74,"SAN LUIS","Otro país","MUJER","75 a 79",11
74,"SAN LUIS","Otro país","MUJER","80 a 84",7
74,"SAN LUIS","Otro país","MUJER","85 a 89",5
74,"SAN LUIS","Otro país","MUJER","90 a 94",3
74,"SAN LUIS","Otro país","MUJER","95 y más",2
74,"SAN LUIS","Otro país","VARON","0 a 4",6
74,"SAN LUIS","Otro país","VARON","5 a 9",40
74,"SAN LUIS","Otro país","VARON","10 a 14",54
74,"SAN LUIS","Otro país","VARON","15 a 19",74
74,"SAN LUIS","Otro país","VARON","20 a 24",50
74,"SAN LUIS","Otro país","VARON","25 a 29",64
74,"SAN LUIS","Otro país","VARON","30 a 34",73
74,"SAN LUIS","Otro país","VARON","35 a 39",76
74,"SAN LUIS","Otro país","VARON","40 a 44",65
74,"SAN LUIS","Otro país","VARON","45 a 49",71
74,"SAN LUIS","Otro país","VARON","50 a 54",39
74,"SAN LUIS","Otro país","VARON","55 a 59",49
74,"SAN LUIS","Otro país","VARON","60 a 64",28
74,"SAN LUIS","Otro país","VARON","65 a 69",27
74,"SAN LUIS","Otro país","VARON","70 a 74",20
74,"SAN LUIS","Otro país","VARON","75 a 79",18
74,"SAN LUIS","Otro país","VARON","80 a 84",7
74,"SAN LUIS","Otro país","VARON","85 a 89",6
74,"SAN LUIS","Otro país","VARON","90 a 94",1
78,"SANTA CRUZ","Otro país","MUJER","0 a 4",1
78,"SANTA CRUZ","Otro país","MUJER","5 a 9",12
78,"SANTA CRUZ","Otro país","MUJER","10 a 14",37
78,"SANTA CRUZ","Otro país","MUJER","15 a 19",53
78,"SANTA CRUZ","Otro país","MUJER","20 a 24",70
78,"SANTA CRUZ","Otro país","MUJER","25 a 29",91
78,"SANTA CRUZ","Otro país","MUJER","30 a 34",99
78,"SANTA CRUZ","Otro país","MUJER","35 a 39",110
78,"SANTA CRUZ","Otro país","MUJER","40 a 44",132
78,"SANTA CRUZ","Otro país","MUJER","45 a 49",129
78,"SANTA CRUZ","Otro país","MUJER","50 a 54",82
78,"SANTA CRUZ","Otro país","MUJER","55 a 59",46
78,"SANTA CRUZ","Otro país","MUJER","60 a 64",28
78,"SANTA CRUZ","Otro país","MUJER","65 a 69",23
78,"SANTA CRUZ","Otro país","MUJER","70 a 74",18
78,"SANTA CRUZ","Otro país","MUJER","75 a 79",7
78,"SANTA CRUZ","Otro país","MUJER","80 a 84",5
78,"SANTA CRUZ","Otro país","MUJER","85 a 89",2
78,"SANTA CRUZ","Otro país","MUJER","90 a 94",4
78,"SANTA CRUZ","Otro país","MUJER","95 y más",2
78,"SANTA CRUZ","Otro país","VARON","0 a 4",3
78,"SANTA CRUZ","Otro país","VARON","5 a 9",17
78,"SANTA CRUZ","Otro país","VARON","10 a 14",26
78,"SANTA CRUZ","Otro país","VARON","15 a 19",62
78,"SANTA CRUZ","Otro país","VARON","20 a 24",80
78,"SANTA CRUZ","Otro país","VARON","25 a 29",106
78,"SANTA CRUZ","Otro país","VARON","30 a 34",97
78,"SANTA CRUZ","Otro país","VARON","35 a 39",80
78,"SANTA CRUZ","Otro país","VARON","40 a 44",75
78,"SANTA CRUZ","Otro país","VARON","45 a 49",87
78,"SANTA CRUZ","Otro país","VARON","50 a 54",56
78,"SANTA CRUZ","Otro país","VARON","55 a 59",37
78,"SANTA CRUZ","Otro país","VARON","60 a 64",28
78,"SANTA CRUZ","Otro país","VARON","65 a 69",18
78,"SANTA CRUZ","Otro país","VARON","70 a 74",8
78,"SANTA CRUZ","Otro país","VARON","75 a 79",11
78,"SANTA CRUZ","Otro país","VARON","80 a 84",6
78,"SANTA CRUZ","Otro país","VARON","85 a 89",1
78,"SANTA CRUZ","Otro país","VARON","90 a 94",2
78,"SANTA CRUZ","Otro país","VARON","95 y más",2
82,"SANTA FE","Otro país","MUJER","0 a 4",55
82,"SANTA FE","Otro país","MUJER","5 a 9",96
82,"SANTA FE","Otro país","MUJER","10 a 14",132
82,"SANTA FE","Otro país","MUJER","15 a 19",258
82,"SANTA FE","Otro país","MUJER","20 a 24",298
82,"SANTA FE","Otro país","MUJER","25 a 29",465
82,"SANTA FE","Otro país","MUJER","30 a 34",567
82,"SANTA FE","Otro país","MUJER","35 a 39",488
82,"SANTA FE","Otro país","MUJER","40 a 44",377
82,"SANTA FE","Otro país","MUJER","45 a 49",297
82,"SANTA FE","Otro país","MUJER","50 a 54",256
82,"SANTA FE","Otro país","MUJER","55 a 59",205
82,"SANTA FE","Otro país","MUJER","60 a 64",122
82,"SANTA FE","Otro país","MUJER","65 a 69",129
82,"SANTA FE","Otro país","MUJER","70 a 74",93
82,"SANTA FE","Otro país","MUJER","75 a 79",66
82,"SANTA FE","Otro país","MUJER","80 a 84",56
82,"SANTA FE","Otro país","MUJER","85 a 89",41
82,"SANTA FE","Otro país","MUJER","90 a 94",23
82,"SANTA FE","Otro país","MUJER","95 y más",23
82,"SANTA FE","Otro país","VARON","0 a 4",48
82,"SANTA FE","Otro país","VARON","5 a 9",93
82,"SANTA FE","Otro país","VARON","10 a 14",161
82,"SANTA FE","Otro país","VARON","15 a 19",294
82,"SANTA FE","Otro país","VARON","20 a 24",437
82,"SANTA FE","Otro país","VARON","25 a 29",632
82,"SANTA FE","Otro país","VARON","30 a 34",670
82,"SANTA FE","Otro país","VARON","35 a 39",481
82,"SANTA FE","Otro país","VARON","40 a 44",426
82,"SANTA FE","Otro país","VARON","45 a 49",323
82,"SANTA FE","Otro país","VARON","50 a 54",259
82,"SANTA FE","Otro país","VARON","55 a 59",213
82,"SANTA FE","Otro país","VARON","60 a 64",157
82,"SANTA FE","Otro país","VARON","65 a 69",113
82,"SANTA FE","Otro país","VARON","70 a 74",87
82,"SANTA FE","Otro país","VARON","75 a 79",78
82,"SANTA FE","Otro país","VARON","80 a 84",44
82,"SANTA FE","Otro país","VARON","85 a 89",29
82,"SANTA FE","Otro país","VARON","90 a 94",16
82,"SANTA FE","Otro país","VARON","95 y más",5
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","0 a 4",2
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","5 a 9",4
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","10 a 14",13
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","15 a 19",25
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","20 a 24",24
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","25 a 29",34
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","30 a 34",74
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","35 a 39",95
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","40 a 44",84
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","45 a 49",50
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","50 a 54",47
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","55 a 59",50
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","60 a 64",36
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","65 a 69",19
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","70 a 74",19
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","75 a 79",14
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","80 a 84",6
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","85 a 89",1
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","90 a 94",3
86,"SANTIAGO DEL ESTERO","Otro país","MUJER","95 y más",1
86,"SANTIAGO DEL ESTERO","Otro país","VARON","5 a 9",6
86,"SANTIAGO DEL ESTERO","Otro país","VARON","10 a 14",16
86,"SANTIAGO DEL ESTERO","Otro país","VARON","15 a 19",31
86,"SANTIAGO DEL ESTERO","Otro país","VARON","20 a 24",33
86,"SANTIAGO DEL ESTERO","Otro país","VARON","25 a 29",67
86,"SANTIAGO DEL ESTERO","Otro país","VARON","30 a 34",64
86,"SANTIAGO DEL ESTERO","Otro país","VARON","35 a 39",108
86,"SANTIAGO DEL ESTERO","Otro país","VARON","40 a 44",105
86,"SANTIAGO DEL ESTERO","Otro país","VARON","45 a 49",82
86,"SANTIAGO DEL ESTERO","Otro país","VARON","50 a 54",55
86,"SANTIAGO DEL ESTERO","Otro país","VARON","55 a 59",63
86,"SANTIAGO DEL ESTERO","Otro país","VARON","60 a 64",47
86,"SANTIAGO DEL ESTERO","Otro país","VARON","65 a 69",28
86,"SANTIAGO DEL ESTERO","Otro país","VARON","70 a 74",21
86,"SANTIAGO DEL ESTERO","Otro país","VARON","75 a 79",17
86,"SANTIAGO DEL ESTERO","Otro país","VARON","80 a 84",10
86,"SANTIAGO DEL ESTERO","Otro país","VARON","85 a 89",7
86,"SANTIAGO DEL ESTERO","Otro país","VARON","90 a 94",4
94,"TIERRA DEL FUEGO","Otro país","MUJER","0 a 4",2
94,"TIERRA DEL FUEGO","Otro país","MUJER","5 a 9",13
94,"TIERRA DEL FUEGO","Otro país","MUJER","10 a 14",27
94,"TIERRA DEL FUEGO","Otro país","MUJER","15 a 19",44
94,"TIERRA DEL FUEGO","Otro país","MUJER","20 a 24",54
94,"TIERRA DEL FUEGO","Otro país","MUJER","25 a 29",42
94,"TIERRA DEL FUEGO","Otro país","MUJER","30 a 34",64
94,"TIERRA DEL FUEGO","Otro país","MUJER","35 a 39",96
94,"TIERRA DEL FUEGO","Otro país","MUJER","40 a 44",83
94,"TIERRA DEL FUEGO","Otro país","MUJER","45 a 49",89
94,"TIERRA DEL FUEGO","Otro país","MUJER","50 a 54",53
94,"TIERRA DEL FUEGO","Otro país","MUJER","55 a 59",44
94,"TIERRA DEL FUEGO","Otro país","MUJER","60 a 64",29
94,"TIERRA DEL FUEGO","Otro país","MUJER","65 a 69",20
94,"TIERRA DEL FUEGO","Otro país","MUJER","70 a 74",13
94,"TIERRA DEL FUEGO","Otro país","MUJER","75 a 79",4
