,Country Code,Year,Ingresos,Electricidad,Contaminación,Crecimiento PBI,Crecimiento PBI per cápita,Desempleo Hombre,Desempleo mujeres,Gasto PBI,Importaciones,Migracion neta,Desempleados con educación avanzada,Tasa de cambio,Pobreza,Mortalidad
170,NAC,1960,,,,,,,,,22465915156.370796,627919.0,,,,9.34680587751106
171,NAM,1960,,,,,,,,,,-3227.0,,,,18.247
172,NCL,1960,,,,,,,,,38000000.0,815.0,,89.765000088765,,10.1
173,NER,1960,,,,,,,,,13000000.0,-3653.0,,245.195101398359,,27.566
174,NGA,1960,,,,,,,,,604000000.0,12174.0,,0.714285999714286,,26.235
175,NIC,1960,,,,,,,,,72000000.0,-2417.0,,2.06064418965517e-09,,18.906
176,NLD,1960,,,,,,,,,5361000000.0,-1845.0,,3.8000000028,,7.6
177,NOR,1960,,,,,,,,,1462000000.0,-1990.0,,7.14286000614286,,9.1
178,NPL,1960,,,,,,,,,38000000.0,-13235.0,,7.5000000065,,24.851
179,NRU,1960,,,,,,,,,,89.0,,0.892856999892857,,11.139
180,NZL,1960,,,,,,,,,786000000.0,4371.0,,0.714287986064378,,8.79
181,OED,1960,,,,,,,,,94439049522.812,375320.0,,,,10.239991399976217
182,OMN,1960,,,,,,,,,20000000.0,-2997.0,,0.357142999357143,,30.49
183,OSS,1960,,,,,,,,,886713277.5823646,-10895.0,,,,17.484067974369033
184,PAK,1960,,,,,,,,,827000000.0,0.0,,4.7619000037619,,20.909
185,PAN,1960,,,,,,,,,120000000.0,-2409.0,,1.0,,9.941
186,PER,1960,,,,,,,,,379000000.0,-2026.0,,2.72991666659167e-08,,17.229
187,PHL,1960,,,,,,,,,715000000.0,-155327.0,,2.01499848831181,,10.47
188,PLW,1960,,,,,,,,,,-71.0,,,,
189,PNG,1960,,,,,,,,,60000000.0,-2033.0,,0.892856999892857,,16.888
190,POL,1960,,,,,,,,,1495000000.0,-20564.0,,0.0003999999999,,7.6
191,PRE,1960,,,,,,,,,3497327087.090787,-85893.0,,,,24.61452114208155
192,PRI,1960,,,,,,,,,,-28261.0,,,,6.7
193,PRK,1960,,,,,,,,,,0.0,,,,11.909
194,PRT,1960,,,,,,,,,544000000.0,-99337.0,,28.75000002875,,10.7
195,PRY,1960,,,,,,,,,38000000.0,-14610.0,,123.166666666667,,10.255
196,PSE,1960,,,,,,,,,,-17662.0,,,,
197,PSS,1960,,,,,,,,,79951511.24644603,-1872.0,,,,13.034974528256615
198,PST,1960,,,,,,,,,92767737736.99939,553457.0,,,,9.646961674357673
199,PYF,1960,,,,,,,,,18000000.0,-725.0,,89.765000088765,,9.628
200,QAT,1960,,,,,,,,,32000000.0,1586.0,,,,11.243
201,ROU,1960,,,,,,,,,700000000.0,-24974.0,,0.0005999999999,,8.7
202,RUS,1960,,,,,,,,,,-161432.0,,,,7.594
203,RWA,1960,,,,,,,,,14000000.0,-13204.0,,49.99999995,,19.195
204,SAS,1960,,,,,,,,,4306770834.160468,44061.0,,,,20.0129976479065
205,SAU,1960,,,,,,,,,234000000.0,7608.0,,4.5000000035,,20.963
206,SDN,1960,,,,,,,,,183000000.0,2191.0,,0.000348199999,,18.09
207,SEN,1960,,,,,,,,,172000000.0,9338.0,,245.195101398359,,24.944
208,SGP,1960,,,,,,,,,1333000000.0,1688.0,,3.06122000206122,,6.2
209,SLB,1960,,,,,,,,,5000000.0,-385.0,,0.892856999892857,,17.071
210,SLE,1960,,,,,,,,,74000000.0,-3528.0,,0.000714285999714286,,30.608
